cnumber,cname,credits,elective
103,HIST,3,1
104,HIST,3,1
105,HIST,3,1
106,HIST,3,1
107,HIST,3,1
130,HIST,3,1
206,HIST,3,1
207,HIST,3,1
216,HIST,3,1
231,HIST,3,1
